Transaction_ID,Date,Month,Month_Name,Quarter,State,Platform,Category,Age_Group,Gender,Customer_Segment,Device_Type,Payment_Method,Delivery_Option,Order_Value_NGN,Quantity,Total_Value_NGN,Discount_Pct,Discount_Amount_NGN,Final_Value_NGN,Delivery_Days,Customer_Satisfaction,Repeat_Purchase_Likelihood,Returned,Platform_Rating
NM-10001,2023-02-17,2,Feb,Q1,Abuja,Jumia,Health & Beauty,35-44,Male,Student,Mobile,Card,Same Day,9605.73,1,9605.73,0,0.0,9605.73,1,5,High,0,4.0
NM-10002,2023-01-23,1,Jan,Q1,Oyo,Jumia,Sports & Fitness,45-54,Female,Young Professional,Mobile,Transfer,2-3 Days,59459.62,1,59459.62,25,14864.91,44594.71,2,3,High,1,3.7
NM-10003,2023-07-06,7,Jul,Q3,Abuja,Jumia,Home & Living,25-34,Male,Young Professional,Tablet,USSD,Same Day,23705.22,1,23705.22,10,2370.52,21334.7,1,5,High,1,4.2
NM-10004,2023-10-18,10,Oct,Q4,Kaduna,Amazon Nigeria,Electronics,25-34,Male,Business Owner,Desktop,Card,Standard (5-7 Days),308583.15,1,308583.15,10,30858.31,277724.84,5,2,Low,0,4.8
NM-10005,2023-12-15,12,Dec,Q4,Anambra,Konga,Food & Grocery,18-24,Male,Student,Mobile,Wallet,Same Day,11709.68,1,11709.68,5,585.48,11124.2,1,5,High,0,3.8
NM-10006,2023-11-17,11,Nov,Q4,Kaduna,Jumia,Automobile Parts,25-34,Male,Student,Mobile,Card,Next Day,65301.4,2,130602.8,10,13060.28,117542.52,1,5,High,0,3.5
NM-10007,2023-02-05,2,Feb,Q1,Kaduna,Amazon Nigeria,Health & Beauty,18-24,Female,Young Professional,Mobile,Card,Same Day,34284.5,1,34284.5,0,0.0,34284.5,1,5,High,1,4.5
NM-10008,2023-06-23,6,Jun,Q2,Rivers,PayPorte,Automobile Parts,18-24,Male,Business Owner,Mobile,USSD,Standard (5-7 Days),12038.58,2,24077.16,10,2407.72,21669.44,7,3,Medium,1,4.7
NM-10009,2023-07-28,7,Jul,Q3,Abuja,Jiji,Health & Beauty,25-34,Male,Business Owner,Mobile,Cash on Delivery,Standard (5-7 Days),8688.32,1,8688.32,5,434.42,8253.9,6,4,High,0,3.1
NM-10010,2023-08-25,8,Aug,Q3,Kaduna,Shoprite Online,Fashion,18-24,Male,Business Owner,Mobile,Card,Standard (5-7 Days),13491.87,4,53967.48,5,2698.37,51269.11,7,4,High,1,4.7
NM-10011,2023-05-16,5,May,Q2,Kano,Konga,Books & Education,25-34,Female,Student,Desktop,Card,Next Day,14007.99,2,28015.98,0,0.0,28015.98,2,3,High,0,4.5
NM-10012,2023-04-06,4,Apr,Q2,Lagos,Jumia,Books & Education,18-24,Female,Student,Desktop,Wallet,Next Day,2425.04,1,2425.04,20,485.01,1940.03,2,3,High,0,4.3
NM-10013,2023-11-27,11,Nov,Q4,Enugu,Jumia,Health & Beauty,25-34,Male,Retiree,Mobile,Card,Next Day,12249.91,1,12249.91,15,1837.49,10412.42,1,5,Medium,0,3.7
NM-10014,2023-12-01,12,Dec,Q4,Kaduna,Amazon Nigeria,Home & Living,35-44,Female,Young Professional,Mobile,USSD,2-3 Days,65828.18,2,131656.36,10,13165.64,118490.72,2,2,Low,1,4.4
NM-10015,2023-01-23,1,Jan,Q1,Rivers,PayPorte,Health & Beauty,35-44,Female,Business Owner,Mobile,Wallet,Same Day,2615.23,2,5230.46,10,523.05,4707.41,1,5,High,0,4.9
NM-10016,2023-01-21,1,Jan,Q1,Kano,Jiji,Sports & Fitness,18-24,Male,Business Owner,Mobile,Wallet,Next Day,72318.27,1,72318.27,0,0.0,72318.27,1,5,High,0,4.9
NM-10017,2023-05-08,5,May,Q2,Kano,WhatsApp Commerce,Food & Grocery,45-54,Female,Business Owner,Mobile,Cash on Delivery,Standard (5-7 Days),8136.53,2,16273.06,0,0.0,16273.06,5,2,Low,1,3.4
NM-10018,2023-10-02,10,Oct,Q4,Rivers,Konga,Health & Beauty,35-44,Male,Student,Tablet,Transfer,2-3 Days,13262.37,1,13262.37,20,2652.47,10609.9,2,5,Medium,0,3.9
NM-10019,2023-09-24,9,Sep,Q3,Borno,WhatsApp Commerce,Fashion,18-24,Male,Young Professional,Desktop,Cash on Delivery,2-3 Days,41874.16,1,41874.16,15,6281.12,35593.04,3,2,Low,1,4.4
NM-10020,2023-07-14,7,Jul,Q3,Oyo,Jiji,Automobile Parts,18-24,Female,Homemaker,Mobile,USSD,Next Day,138045.05,3,414135.15,10,41413.51,372721.64,2,5,Medium,0,4.2
